R_PRODUCTO,C_AGREGADO,VALOR
1,T1,13021500000.0
1,T2,855000000.0
2,T1,2785500000.0
2,T2,57200000.0
3,T1,0.0
3,T2,0.0
4,T1,187000000.0
4,T2,26600000.0
5,T1,1343700000.0
5,T2,65900000.00000001
6,T1,78100000.0
6,T2,35600000.0
7,T1,0.0
7,T2,15300000.0
8,T1,0.0
8,T2,5000000.0
9,T1,287600000.0
9,T2,24500000.0
10,T1,366900000.0
10,T2,277300000.0
11,T1,5946900000.0
11,T2,115300000.0
12,T1,1755400000.0
12,T2,164100000.0
13,T1,1985700000.0
13,T2,134400000.0
14,T1,3537400000.0
14,T2,122300000.0
15,T1,17110000000.0
15,T2,628400000.0
16,T1,3094500000.0
16,T2,124900000.0
17,T1,1316300000.0
17,T2,169000000.0
18,T1,1983900000.0
18,T2,5000000.0
19,T1,3437600000.0
19,T2,21500000.0
20,T1,9011900000.0
20,T2,73600000.0
21,T1,1029500000.0
21,T2,11100000.0
22,T1,1377500000.0
22,T2,195600000.0
23,T1,597200000.0
23,T2,121600000.0
24,T1,2677600000.0
24,T2,67200000.0
25,T1,62500000.0
25,T2,200000.0
26,T1,7469400000.0
26,T2,146100000.0
27,T1,9824100000.0
27,T2,189700000.0
28,T1,7896000000.0
28,T2,111300000.0
29,T1,272500000.0
29,T2,2600000.0
30,T1,14636500000.0
30,T2,66599999.99999999
31,T1,2041500000.0
31,T2,113800000.0
32,T1,5056900000.0
32,T2,98300000.0
33,T1,1856700000.0
33,T2,28600000.0
34,T1,1671100000.0
34,T2,144300000.0
35,T1,1508400000.0
35,T2,183300000.0
36,T1,889100000.0
36,T2,66700000.0
37,T1,7074000000.0
37,T2,347200000.0
38,T1,12929600000.0
38,T2,153000000.0
39,T1,660400000.0
39,T2,85600000.0
40,T1,2315200000.0
40,T2,23600000.0
41,T1,6847400000.0
41,T2,367300000.0
42,T1,7929900000.0
42,T2,172800000.0
43,T1,1900600000.0
43,T2,99300000.0
44,T1,7434500000.0
44,T2,58400000.0
45,T1,8292799999.999999
45,T2,77500000.0
46,T1,1238100000.0
46,T2,236000000.0
47,T1,85000000.0
47,T2,900000.0
48,T1,467400000.0
48,T2,1200000.0
49,T1,1969400000.0
49,T2,10900000.0
50,T1,809700000.0
50,T2,5200000.0
51,T1,3783700000.0
51,T2,39100000.0
52,T1,7754100000.0
52,T2,128199999.99999999
53,T1,0.0
53,T2,0.0
54,T1,0.0
54,T2,1200000.0
55,T1,12200000.0
55,T2,200000.0
56,T1,0.0
56,T2,0.0
57,T1,412000000.0
57,T2,153000000.0
58,T1,0.0
58,T2,0.0
59,T1,0.0
59,T2,0.0
60,T1,0.0
60,T2,0.0
61,T1,0.0
61,T2,0.0
62,T1,-10858300000.0
62,T2,0.0
63,T1,0.0
63,T2,0.0
64,T1,-104962200000.0
64,T2,0.0
65,T1,-85007400000.0
65,T2,0.0
66,T1,0.0
66,T2,-87800000.0
67,T1,0.0
67,T2,-5891500000.0
68,T1,0.0
68,T2,-316100000.0
69,T1,0.0
69,T2,-150200000.0
70,T1,0.0
70,T2,0.0
71,T1,0.0
71,T2,0.0
72,T1,0.0
72,T2,0.0
73,T1,0.0
73,T2,0.0
74,T1,0.0
74,T2,0.0
75,T1,1857500000.0
75,T2,16200000.0
76,T1,539200000.0
76,T2,100000.0
77,T1,214600000.0
77,T2,0.0
78,T1,0.0
78,T2,0.0
79,T1,0.0
79,T2,0.0
80,T1,0.0
80,T2,0.0
81,T1,0.0
81,T2,0.0
82,T1,0.0
82,T2,0.0
83,T1,0.0
83,T2,0.0
84,T1,0.0
84,T2,0.0
85,T1,0.0
85,T2,0.0
86,T1,0.0
86,T2,200000.0
87,T1,0.0
87,T2,0.0
88,T1,0.0
88,T2,0.0
89,T1,117200000.0
89,T2,200000.0
90,T1,0.0
90,T2,0.0
91,T1,0.0
91,T2,0.0
92,T1,0.0
92,T2,0.0
93,T1,0.0
93,T2,0.0
94,T1,0.0
94,T2,0.0
95,T1,0.0
95,T2,0.0
96,T1,0.0
96,T2,0.0
97,T1,0.0
97,T2,0.0
98,T1,0.0
98,T2,0.0
99,T1,0.0
99,T2,0.0
100,T1,0.0
100,T2,0.0
101,T1,0.0
101,T2,0.0
102,T1,67000000.0
102,T2,0.0
103,T1,0.0
103,T2,200000.0
104,T1,0.0
104,T2,0.0
105,T1,0.0
105,T2,0.0
106,T1,0.0
106,T2,0.0
107,T1,0.0
107,T2,0.0
108,T1,0.0
108,T2,200000.0
