C_RAMA,VALOR
1,53856999999.99999
2,1740999999.9999998
3,2639000000.0
4,5854999999.999999
5,30860000000.0
6,9631999999.999998
7,65801000000.000015
8,18142000000.0
9,997000000.0
10,6731000000.0
11,5863000000.0
12,6840000000.000001
13,7594000000.0
14,13985000000.0
15,5906000000.0
16,37683000000.0
17,40806999999.99999
18,16591000000.0
19,21152999999.999996
20,20801000000.0
21,30182000000.0
22,38293000000.0
23,5336000000.0
24,17923000000.0
25,22353000000.0
26,68756000000.0
27,17668000000.0
28,6143999999.999999
29,5474000000.0
30,13807000000.0
31,64970000000.0
32,10546000000.000002
33,21077999999.999996
34,74942000000.0
35,18067000000.0
36,74257000000.0
37,33520000000.0
38,129299000000.0
39,87304999999.99998
40,3702000000.0
41,13237000000.000002
42,38782000000.00001
43,2574999999.9999995
44,13377000000.0
45,50287000000.00001
46,5615000000.000001
47,34869000000.0
48,96340000000.0
49,5921999999.999999
50,13468000000.0
51,31222999999.999996
52,41724000000.0
53,47063999999.99999
54,18197000000.0
55,11442000000.0
56,58747000000.0
57,93907000000.0
58,24770999999.999996
59,22771000000.0
60,27251000000.000004
61,8234000000.0
62,13990000000.0
63,8383000000.0
64,1176000000.0
65,16354000000.000002
66,7279000000.0
67,15038000000.0
68,6527999999.999999
69,17368000000.0
70,20708000000.000004
71,91823000000.0
72,68151000000.0
73,88858000000.0
74,25711000000.0
75,21045000000.0
76,20309000000.0
77,16910000000.0
78,2484000000.0
79,13010000000.0
