R_PRODUCTO;C_AGREGADO;VALOR;VALOR_C
1;TOTAL;9656500000;11238191862
2;TOTAL;543200000;636260558.57
3;TOTAL;0;0
4;TOTAL;112800000;139131577.94
5;TOTAL;1484200000;1742187577
6;TOTAL;808700000;916405195.2
7;TOTAL;16978600000;24482339524
8;TOTAL;5065200000;5741894787.2
9;TOTAL;3269100000;3837788748
10;TOTAL;560500000;613350331.85
11;TOTAL;1963500000;2312034408.7
12;TOTAL;1729500000;2030102315.4
13;TOTAL;3123200000;3632140005.9
14;TOTAL;478700000;568218330.61
15;TOTAL;12385200000;14386548128
16;TOTAL;1529700000;1749316742.1
17;TOTAL;367200000;419843622.33
18;TOTAL;1722800000;1965863176
19;TOTAL;4258400000;4791632760.3
20;TOTAL;16408500000;19058553899
21;TOTAL;5127100000;5954891715.8
22;TOTAL;1432600000;1653340447.3
23;TOTAL;3091900000;3525378490.3
24;TOTAL;1252300000;1443318707.6
25;TOTAL;493900000;584531489.87
26;TOTAL;7989100000;8490381777.1
27;TOTAL;14270600000;16400029133
28;TOTAL;8064800000;9269339539.1
29;TOTAL;538700000;612284030.32
30;TOTAL;17113500000;19804730007
31;TOTAL;3159700000;3621711516.9
32;TOTAL;5734500000;6612002654.6
33;TOTAL;1647400000;1902317458.6
34;TOTAL;605500000;713782611.34
35;TOTAL;152100000;184358788.96
36;TOTAL;591500000;698935444.28
37;TOTAL;10486300000;11944383831
38;TOTAL;6559500000;7505107448.8
39;TOTAL;1148200000;1323232041.4
40;TOTAL;4103400000;4773641848.2
41;TOTAL;14171800000;16258452323
42;TOTAL;9562100000;11162932345
43;TOTAL;2507400000;2877628822.6
44;TOTAL;18420300000;21293100705
45;TOTAL;23098000000;27114723735
46;TOTAL;18196600000;20794613015
47;TOTAL;314400000;368955969.76
48;TOTAL;253500000;296282085.82
49;TOTAL;4216900000;4915677548.1
50;TOTAL;1256200000;1437825671.9
51;TOTAL;2622200000;3101972575.1
52;TOTAL;7611500000;8720064951.6
53;TOTAL;172300000;200107430.59
54;TOTAL;1827100000;2128897109
55;TOTAL;424100000;503997746.19
56;TOTAL;93500000;112956015.41
57;TOTAL;2165200000;2559524540
58;TOTAL;20900000;23686784.501
59;TOTAL;18700000;21491319.753
60;TOTAL;8100000;10183662.889
61;TOTAL;269300000;303959700.95
62;TOTAL;0;0
63;TOTAL;0;0
64;TOTAL;286300000;299863672.85
65;TOTAL;0;0
66;TOTAL;12000000;14291044.513
67;TOTAL;1776800000;2080873171.4
68;TOTAL;20900000;23301277.178
69;TOTAL;484400000;522540859.46
70;TOTAL;0;0
71;TOTAL;2116000000;2499612641.1
72;TOTAL;116000000;135772523.92
73;TOTAL;2207000000;2393365523.9
74;TOTAL;473000000;541029451.6
75;TOTAL;1889200000;2190973395.7
76;TOTAL;2183500000;2522703515.8
77;TOTAL;23400000;27238303.997
78;TOTAL;2106600000;2511330528.5
79;TOTAL;6216400000;6983689197.7
80;TOTAL;3109000000;3516844731.9
81;TOTAL;1053000000;1240249848.9
82;TOTAL;901000000;975261891.51
83;TOTAL;1351600000;1478945029.8
84;TOTAL;0;0
85;TOTAL;4383700000;5090513309.6
86;TOTAL;1453900000;1792145633.9
87;TOTAL;494100000;594917539.42
88;TOTAL;1038800000;1163876397.8
89;TOTAL;967400000;1091673622.3
90;TOTAL;0;0
91;TOTAL;40800000;46189452.773
92;TOTAL;761200000;875541186.55
93;TOTAL;85700000;87445748.052
94;TOTAL;1225600000;1389614513.4
95;TOTAL;95100000;110597827.22
96;TOTAL;216500000;255751630.48
97;TOTAL;880900000;998076193.22
98;TOTAL;0;0
99;TOTAL;116500000;137409350.37
100;TOTAL;24000000;27816059.425
101;TOTAL;0;0
102;TOTAL;65900000;70260611.612
103;TOTAL;153500000;163701370.68
104;TOTAL;0;0
105;TOTAL;43200000;48279763.622
106;TOTAL;92900000;111227120.86
107;TOTAL;3900000;4452029.3464
108;TOTAL;578100000;651087441.42
